property_type,address,bedroom_number,bathroom_number,area,phone,description,listed_in_site,link,company,price
Twin House,"City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,311 sqm,tel:+201090005314,Twin Villa For sale Ready to move Landscape view,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-city-gate-5019362.html,Element not found,"24,800,000 EGP"
Chalet,"Marassi, Sidi Abdel Rahman, North Coast",3,2,231 sqm,tel:+201116797144,Chalet for sale at Marassi - Verdi - North coast,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-marassi-5019066.html,TAI - The Address Investments logo image,"42,000,000 EGP"
Villa,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",7,7,"1,400 sqm",tel:+201016909538,For sale Standalone 1200 in Swan lake one,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-1st-settlement-swan-lake-5018932.html,YaKan Properties logo image,"150,000,000 EGP"
Apartment,"Kayan, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2,130 sqm,tel:+201066401199,للبيع شقة 130م تشطيب كامل فى كيان بقلب جراند هايتس,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-kayan-5018437.html,HSG Real Estate logo image,"5,500,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,155 sqm,tel:+201068680306,Mountain view Icity October apartment,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5019114.html,Brokers Hub Egypt logo image,"1,100,000 EGP"
Villa,"Palm Hills, Alexandria Compounds, Alexandria",6,5,360 sqm,tel:+201212999983,Palm Hills Villa Town House,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-alexandria-alexandria-compounds-palm-hills-5020848.html,Tuba Elite logo image,"28,573,000 EGP"
Chalet,"June, Ras Al Hekma, North Coast",2,2,125 sqm,tel:+201002198672,for sale chalet lagoon -the med- dp0% over 8y.,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-june-5020116.html,Egypt Best Properties West logo image,"12,500,000 EGP"
Apartment,"Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",2,2,142 sqm,tel:+201100252748,Fully finished apartment 2BR in SODIC Sheikh Zayed,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-new-zayed-city-vye-sodic-5021820.html,Property  Hills. logo image,"1,829,000 EGP"
Villa,"Al Safwa, 26th of July Corridor, 6 October City, Giza",4,4,650 sqm,tel:+201068680306,Compound Al Safwa Standalone villa Fully finished,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-26th-of-july-corridor-al-safwa-5020296.html,Brokers Hub Egypt logo image,"18,000,000 EGP"
Apartment,"Ashgar City, Al Wahat Road, 6 October City, Giza",2,2,110 sqm,tel:+201129669911,ground floor110m in Garden Gate10% dp over 7 years,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-al-wahat-road-ashgar-city-5018546.html,Landpeak Real Estate inv & Marketing logo image,"4,300,000 EGP"
Duplex,"El Motamayez District, Badr City, Cairo",5,3,280 sqm,tel:+201026255489,دوبلكس باطلاله بانوراما العاصمه الادارية والحزام.,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-badr-city-el-motamayez-district-5021165.html,El Mamar Real Estate logo image,"1,600,000 EGP"
Villa,"Hacienda, North Coast",6,7,750 sqm,tel:+201210003824,Villa with Private Pool for sale in Hacienda Red,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-hacienda-5021394.html,Property Network logo image,"62,000,000 EGP"
Townhouse,"River Park Compound, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,233 sqm,tel:+201110845043,Own your town house with a 15% down payment,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-river-park-compound-5019525.html,معاك real estate consultancy logo image,"15,000,000 EGP"
Apartment,"Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",3,3,200 sqm,tel:+201099666723,Resale apartment ground floor opportunity galleria,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-galleria-moon-valley-5019839.html,Inspectors Real Estate Consultancy logo image,"5,800,000 EGP"
Townhouse,"O West, 6 October Compounds, 6 October City, Giza",3,3,173 sqm,tel:+20221208545,"Town house for sale, Owest compound",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-6-october-compounds-o-west-5022376.html,Premium Real estate logo image,"10,000,000 EGP"
Townhouse,"L'avenir, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,4,270 sqm,tel:+201050689974,Townhouse for sale - prime location - at LAvenir,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-l-avenir-5019002.html,Remax The Address logo image,"9,500,000 EGP"
Duplex,"Casa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3,234 sqm,tel:+201207550900,A Duplex For Sale In Casa Sodic Fully Furnished.,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-casa-5020681.html,Real Vision logo image,"11,500,000 EGP"
Apartment,"O West, 6 October Compounds, 6 October City, Giza",2,3,116 sqm,tel:+20221208545,Apartment for sale O west core,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-o-west-5022121.html,Premium Real estate logo image,"3,450,000 EGP"
Townhouse,"Garden Lakes, 6 October Compounds, 6 October City, Giza",4,3,215 sqm,tel:+201111984362,fully finished apartment with garden for sale,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-6-october-compounds-garden-lakes-5020570.html,Property Hills Star logo image,"1,005,100 EGP"
Apartment,"Terrace Compound, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",2,2,123 sqm,tel:+20221208545,"Apartment for sale, Terrace compound",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-terrace-compound-5022210.html,Premium Real estate logo image,"3,037,306 EGP"
Palace,"Royal Hills, Al Motamayez District, 6 October City, Giza",7+,7+,"1,000 sqm",tel:+201113209777,Villa for sale in Royal Hills Compound,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/palace-for-sale-giza-6-october-city-al-motamayez-district-royal-hills-5020833.html,Tatari Investments logo image,"100,000,000 EGP"
Townhouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200 sqm,tel:+201000033803,Townhouse for sale 200m | Hydepark - HPR,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-5020893.html,Smart Step logo image,"17,000,000 EGP"
Townhouse,"Dara Gardens, Northern Expansions, 6 October City, Giza",4,4,282 sqm,tel:+201068680306,Dara Gardens Prime location in October Townhouse,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-northern-expansions-dara-gardens-5020365.html,Brokers Hub Egypt logo image,"12,500,000 EGP"
Townhouse,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",5,4,425 sqm,tel:+201289511175,Townhouse Corner for sale in Golf Extension,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-al-wahat-road-palm-hills-golf-extension-5022558.html,Dash Capital logo image,"25,000,000 EGP"
Villa,"River Park Compound, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,5,345 sqm,tel:+201158893939,"Stand alone sale in the heart of new Zayed,",Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-river-park-compound-5019501.html,معاك real estate consultancy logo image,"11,800,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,155 sqm,tel:+201092263985,Apartment for sale at Mountain View icity,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5020157.html,Full House Real House logo image,"3,760,000 EGP"
Townhouse,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,270 sqm,tel:+201111748339,town villa 270m G+3 for sale new zayed by 10% dp,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-lake-west-5019516.html,معاك real estate consultancy logo image,"9,900,000 EGP"
Chalet,"La Vista Cascada, Al Alamein, North Coast",3,2,155 sqm,tel:+201022242057,Ground Chalet Fully Finished In La Vista Cascada,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-al-alamein-la-vista-cascada-5020737.html,Gold Real Estate logo image,"13,500,000 EGP"
Twin House,"Creek Town, The 1st Settlement, New Cairo City, Cairo",3,4,240 sqm,tel:+201060606111,twin house for sale in Creek Town,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-1st-settlement-creek-town-5021486.html,Brick Real Estate logo image,"23,940,000 EGP"
Apartment,"West Leaves, 1st District, 6 October City, Giza",3,3,170 sqm,tel:+201113710048,Apartment for sale in West Leaves Compound October,Listed 2 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-1st-district-west-leaves-5019958.html,GR Real Estate logo image,"7,500,000 EGP"
Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",5,6,642 sqm,tel:+20221257400,Standalone type c2 For Sale 642 m in La Vista City,Listed 4 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-5012746.html,URE-Ultimate Real Estate logo image,"38,760,000 EGP"
Villa,"Jedar, 6 October Compounds, 6 October City, Giza",4,4,450 sqm,tel:+20221256971,Very special villa at Jedar - 6 October for sale,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-6-october-compounds-jedar-5014566.html,Sign Real Estate logo image,"25,000,000 EGP"
Chalet,"katameya coast, Qesm Ad Dabaah, North Coast",3,3,220 sqm,tel:+201200024411,Lagoon View Chalet for sale in Katameya over 5Y,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-katameya-coast-5016111.html,Egypt Best Properties West logo image,"16,500,000 EGP"
Apartment,"Etapa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2,156 sqm,tel:+201207403999,Primary apartment for sale at lacolina shekh zayed,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-etapa-5018070.html,Egypt Best Properties West logo image,"7,810,000 EGP"
Apartment,"The Water Way, North Investors Area, New Cairo City, Cairo",3,4,198 sqm,tel:+201000240880,Under market price Apartment in Waterway The View,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-the-water-way-5017131.html,DOT HOME logo image,"12,000,000 EGP"
Chalet,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",2,2,116 sqm,tel:+201066699903,Chalet 2 bedroom fully finished down payment 845K,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-red-sea-hurghada-safaga-soma-bay-mesca-5018288.html,Towers Map logo image,"8,450,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,165 sqm,tel:+201117146111,apartment 165 m with installment MV the lake,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5013621.html,Prime Community logo image,"6,600,000 EGP"
Villa,"Saada Compound, New Cairo City, Cairo",4,5,575 sqm,tel:+201222512384,VILLA READY TO MOVE IN NEW CAIRO WITH INSTALLMENTS,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-saada-compound-5017620.html,Egypt Best Properties West logo image,"53,000,000 EGP"
Apartment,"District 5 Residences, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2,3,139 sqm,tel:+201000063466,A 2 Bdr Apartment in District 5 Below Market Price,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-district-5-residences-5013021.html,We are consultancy logo image,"5,200,000 EGP"
Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,161 sqm,tel:+201120977893,"Apartment for sale, Mountain view icity new cairo",Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-5018254.html,GO Sahel logo image,"6,000,000 EGP"
Villa,"Jedar, 6 October Compounds, 6 October City, Giza",4,3,450 sqm,tel:+20221257165,Very special villa at Jedar - 6 October for sale,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-6-october-compounds-jedar-5014775.html,Sign Real Estate logo image,"25,000,000 EGP"
Apartment,"Holm, South Investors Area, New Cairo City, Cairo",3,2,151 sqm,tel:+201550408625,Your apartment is 2minutes to AUC 10%down payment,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-holm-5017778.html,Roots Egypt logo image,"9,600,000 EGP"
Villa,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",7+,7+,"1,300 sqm",tel:+201201109871,"Prime Villa at Katameya Dunes, Golf &amp; Lake",Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-5017468.html,ETHOS logo image,"48,000,000 EGP"
Townhouse,"Swan Lake, 26th of July Corridor, 6 October City, Giza",4,3,200 sqm,tel:+201111984362,TownHouse 200 m with only 5% Dp Over 7 years,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-giza-6-october-city-26th-of-july-corridor-swan-lake-5016856.html,Property Hills Star logo image,"2,600,000 EGP"
Townhouse,"Silver Beach, North Coast",3,3,149 sqm,tel:+201068094843,Townhouse for sale in a prime location,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-north-coast-silver-beach-5017819.html,Iskan logo image,"5,000,000 EGP"
Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",4,5,320 sqm,tel:+20221256901,Ready to move Twin House La Vista new cairo,Listed 4 days ago,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-5012755.html,URE-Ultimate Real Estate logo image,"24,230,000 EGP"
Apartment,"HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3,177 sqm,tel:+201280862222,Apartment Double view in HapTown with installments,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-hap-town-5014132.html,New Avenue Real Estate logo image,"2,050,000 EGP"
Villa,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",6,6,800 sqm,tel:+201127759466,Standalone for sale in Golf Extension Palm Hills,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-al-wahat-road-palm-hills-golf-extension-5013967.html,Property  Hills. logo image,"9,662,850 EGP"
Apartment,"O West, 6 October Compounds, 6 October City, Giza",3,3,172 sqm,tel:+201070222915,Resale Apartment 171m for Sale in O West,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-o-west-5017490.html,Crown properties logo image,"8,000,000 EGP"
Villa,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",7+,7+,"1,300 sqm",tel:+201201109871,"Villa 1300m at katameya Dunes, BEST PRICE, Golf V",Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-5017568.html,ETHOS logo image,"90,000,000 EGP"
Chalet,"Bay Central, Soma Bay, Safaga, Hurghada, Red Sea",2,2,119 sqm,tel:+201066699903,Chalet 2 Bedroom in Blanca Installment 7 years,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-red-sea-hurghada-safaga-soma-bay-bay-central-5018248.html,Towers Map logo image,"11,000,000 EGP"
Apartment,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3,185 sqm,tel:+201092263985,Apartment for sale in Mountain View i City - 185 m,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-6-october-city-6-october-compounds-mountain-view-icity-october-5014403.html,Full House Real House logo image,"6,000,000 EGP"
Villa,"The Marq ville, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,225 sqm,tel:+201280862222,Villa double view The Marq Ville with installments,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-marq-ville-5016459.html,New Avenue Real Estate logo image,"16,395,000 EGP"
Apartment,"The Waterway View, 90 Street, The 5th Settlement, New Cairo City, Cairo",3,3,198 sqm,tel:+201018381119,apartment for sale in the view by water way.,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-90-street-the-waterway-view-5017788.html,Makanak Investments logo image,"13,000,000 EGP"
Villa,"Gaia, Ras Al Hekma, North Coast",5,5,284 sqm,tel:+201155529505,"Finished villa, Ras El Hekma Ready to move",Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-north-coast-ras-al-hekma-gaia-5017289.html,Twin House logo image,"47,000,000 EGP"
Apartment,"The Crest, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,135 sqm,tel:+201010739747,Book apartment 2BR ONLY 200K Eoi - The Crest,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-crest-5014952.html,TLE logo image,"10,100,000 EGP"
Apartment,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,129 sqm,tel:+201000063466,Swan Lake Residences 2 Beds Amazing View,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-5013071.html,We are consultancy logo image,"6,240,000 EGP"
Apartment,"Khaleej Nabaq, Sharm El Sheikh, South Sainai",studio,1,40 sqm,tel:+201005071117,Luxury finished studio in Sunny Village Nabq,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-south-sainai-sharm-el-sheikh-khaleej-nabaq-5017260.html,Element not found,"1,500,000 EGP"
Townhouse,"Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4,176 sqm,tel:+201000063466,Town House in Azzar 2 Best Market Price,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-2-5012990.html,We are consultancy logo image,"13,676,600 EGP"
Chalet,"katameya coast, Qesm Ad Dabaah, North Coast",3,3,220 sqm,tel:+201200024411,Lagoon View Chalet for sale in Katameya over 5Y,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-katameya-coast-5016100.html,Egypt Best Properties West logo image,"16,000,000 EGP"
Apartment,"Magawish, Hurghada, Red Sea",1,1,69 sqm,tel:+201127518019,Apartment For Sale In Magawish Hurghada,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-red-sea-hurghada-magawish-5017757.html,Element not found,"2,063,100 EGP"
Chalet,"Almaza Bay, Qesm Marsa Matrouh, North Coast",3,3,150 sqm,tel:+201099929298,Premium Chalet in Hassan Allam New Project,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-marsa-matrouh-almaza-bay-5016517.html,Heritage Real Estate logo image,Ask for price
Villa,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",7+,7+,"1,800 sqm",tel:+201201109871,"Villa 1800m at Katameya Dunes, Panorama Golf view",Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-5017472.html,ETHOS logo image,"120,000,000 EGP"
Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,128 sqm,tel:+201000063466,Palm Hills New Cairo 2 Beds Minimum Down Payment,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-5013123.html,We are consultancy logo image,"9,292,000 EGP"
Chalet,"Bay Central, Soma Bay, Safaga, Hurghada, Red Sea",2,2,112 sqm,tel:+201066699903,Chalet 2 Bedroom in Blanca installment 7 years,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-red-sea-hurghada-safaga-soma-bay-bay-central-5018279.html,Towers Map logo image,"8,400,000 EGP"
Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,6,490 sqm,tel:+201016909538,TWIN 490M FULLY FINISHED MIVIDA EMAAR NEW CAIRO,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-5013398.html,YaKan Properties logo image,"45,000,000 EGP"
Villa,"Madinaty, Cairo",3,3,275 sqm,tel:+201126181191,Twin house model H view garden prime location,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-madinaty-5017244.html,Zone Properties . logo image,"19,500,000 EGP"
Duplex,"Palm Parks Palm Hills, South Dahshur Link, 6 October City, Giza",4,5,360 sqm,tel:+201211137000,PalmParks | PenthouseTypeD | 4Beds | PrimeLocation,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-giza-6-october-city-south-dahshur-link-palm-parks-palm-hills-5015241.html,Element not found,"21,600,000 EGP"
Apartment,"Kamal Al Tawil St. (El Montazah), Zamalek, Cairo",4,5,450 sqm,tel:+201222100408,"On the Nile, a 5star apartment for sale and rent",Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-zamalek-kamal-al-tawil-st-el-montazah-5017339.html,Nile House For Real Estate logo image,"44,000,000 EGP"
iVilla,"Mountain View Mostakbal City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",4,5,210 sqm,tel:+201094095061,I villa grand roof for sale with prime location .,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-mountain-view-mostakbal-city-5017162.html,Makanak Investments logo image,"15,500,000 EGP"
Villa,"The Estates, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,554 sqm,tel:+201127759466,Separate villa for sale Sodic The Estates compound,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-the-estates-5014919.html,Property  Hills. logo image,"11,614,400 EGP"
Chalet,"Swan Lake, Qesm Ad Dabaah, North Coast",3,3,150 sqm,tel:+201099929298,Premium Chalet in Hassan Allam New Project,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-qesm-ad-dabaah-swan-lake-5016431.html,Heritage Real Estate logo image,Ask for price
Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,150 sqm,tel:+201015001811,Apartment 155m prime location in taj city,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-5017458.html,I Hop Real Estate logo image,"800,000 EGP"
Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",1,1,60 sqm,tel:+201064188190,Under Market Price Studio 60m Resale Sarai,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-mostakbal-city-compounds-sarai-5016801.html,Bright logo image,"933,000 EGP"
Villa,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",4,4,450 sqm,tel:+201026477748,Villa in Golf Extension Palm Hills October sale,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-al-wahat-road-palm-hills-golf-extension-5017119.html,Element not found,"29,000,000 EGP"
Villa,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",5,5,470 sqm,tel:+201116797144,Villa for sale at palm hills - Golf extension,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-al-wahat-road-palm-hills-golf-extension-5016292.html,TAI - The Address Investments logo image,"47,500,000 EGP"
Apartment,"Bay Central, Soma Bay, Safaga, Hurghada, Red Sea",studio,1,75 sqm,tel:+201066699903,Studio in Blanca down payment 550K Over 7 years,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-red-sea-hurghada-safaga-soma-bay-bay-central-5018273.html,Towers Map logo image,"5,500,000 EGP"
Apartment,"The Water Way, North Investors Area, New Cairo City, Cairo",3,3,247 sqm,tel:+201280862222,Apartment for sale landscape view in W Residence,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-the-water-way-5014129.html,New Avenue Real Estate logo image,"23,816,000 EGP"
Chalet,"Amwaj, Sidi Abdel Rahman, North Coast",3,2,144 sqm,tel:+20221208181,Chalet with distinctive view for sale in Amwaj,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-sidi-abdel-rahman-amwaj-5017052.html,Blue Reef Real Estate logo image,"8,000,000 EGP"
Villa,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,4,531 sqm,tel:+201148896648,Villa for sale in allegria,Listed 3 days ago,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-allegria-5017424.html,Square Investment Real Estate logo image,"70,000,000 EGP"
